text,workout_type,source,video_title,channel,likes,date,video_id,author,word_count,spam,cleaned_text,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_category,motivation_type,motivation_strength,equipment_gym_specific,equipment_home_specific,equipment_free_weights,equipment_cardio,equipment_primary,total_equipment_mentions,satisfaction_positive,satisfaction_negative,satisfaction_progress,satisfaction_frustration,satisfaction_net,satisfaction_level
This is what I plan to do expect every 4th day is a rest day,gym,youtube,BEST 5 DAY WORKOUT SPLIT,Shulk,0,2025-12-29,3leNrtwGdOM,@Dontbreakyoneck,15,False,This is what I plan to do expect every 4th day is a rest day,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
Hitting gym after a long break. Have never consistently been to gym in my life. I'm 33 and have a skinny fat kinda physic. Will update after a month from now and every month from there till end of the year atleast. Hopefully 😂,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-02-26,3PMrt-1WDaI,@vysakhgangadharan,44,False,Hitting gym after a long break Have never consistently been to gym in my life I m 33 and have a skinny fat kinda physic Will update after a month from now and every month from there till end of the year atleast Hopefully,0.0,0.934,0.066,0.4019,positive,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,1,0,neutral
"For flat dumbell chest press, can I do machine chest press instead? For incline dumbbell row, can I instead do seated machine row? Seated Machine shoulder press instead of overhead bar press, lat pull-down instead of pull-ups ?",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-02-21,3PMrt-1WDaI,@medrecbro,38,False,For flat dumbell chest press can I do machine chest press instead? For incline dumbbell row can I instead do seated machine row? Seated Machine shoulder press instead of overhead bar press lat pull down instead of pull ups ?,0.061,0.939,0.0,-0.327,negative,internal,1,2,0,1,0,gym_focused,3,0,0,0,1,0,neutral
"i'm so tired of trying to figure out where to start with working out, it's overwhelming. i've been using fitness copilot lately and it's been kinda nice, everyone keeps talking about it so i thought i'd give it a shot. i just type what i want to achieve and it handles the rest, saves me from overthinking everything.",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-02-15,3PMrt-1WDaI,@ericjoshua-i1f,58,False,i m so tired of trying to figure out where to start with working out it s overwhelming i ve been using fitness copilot lately and it s been kinda nice everyone keeps talking about it so i thought i d give it a shot i just type what i want to achieve and it handles the rest saves me from overthinking everything,0.056,0.841,0.103,0.1813,positive,mixed,3,0,0,0,0,no_equipment,0,0,1,0,0,-1,dissatisfied
Day 1 done first time I felt like I did actual workout I'll follow this routine,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,1,2026-02-02,3PMrt-1WDaI,@shubh3603,16,False,Day 1 done first time I felt like I did actual workout I ll follow this routine,0.0,0.828,0.172,0.3612,positive,internal,1,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
This guy sounds like hes a mix of British and Danish.,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-01-26,3PMrt-1WDaI,@Kalvis1,11,False,This guy sounds like hes a mix of British and Danish,0.0,0.783,0.217,0.3612,positive,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
"lot of workout for begginers in youtube and every single one is completly diffrent omg , i don't even know what to do now",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,1,2026-01-19,3PMrt-1WDaI,@yyonix93,24,False,lot of workout for begginers in youtube and every single one is completly diffrent omg i don t even know what to do now,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
My cheap gym doesnt have those legs and vertical gym machine :|,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-01-19,3PMrt-1WDaI,@MMR-oh4jt,12,False,My cheap gym doesnt have those legs and vertical gym machine,0.0,1.0,0.0,0.0,neutral,not_detected,0,1,0,0,0,gym_focused,1,0,0,0,0,0,neutral
Day 1 of training after 3 years. Wanna look good for my wedding end of the year,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-01-10,3PMrt-1WDaI,@phenomenonnarutokun,17,False,Day 1 of training after 3 years Wanna look good for my wedding end of the year,0.0,0.828,0.172,0.4404,positive,not_detected,0,0,0,0,0,no_equipment,0,1,0,0,0,1,satisfied
Is there something I could swap the pec decs out  with? I don’t have one.,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-01-07,3PMrt-1WDaI,@gagebullock7357,15,False,Is there something I could swap the pec decs out with? I don t have one,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
"I train nearly every day doing swim bike and run. I'm looking to add some gym work to replace my limited at home sessions, but I'm only looking to do 2 days ideally. Could the leg day be combined with one of the others to make it a 2 day  schedule?",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,1,2026-01-04,3PMrt-1WDaI,@tommartin6062,51,False,I train nearly every day doing swim bike and run I m looking to add some gym work to replace my limited at home sessions but I m only looking to do 2 days ideally Could the leg day be combined with one of the others to make it a 2 day schedule?,0.03,0.893,0.077,0.5023,positive,external,1,0,0,0,1,no_equipment,1,0,0,0,0,0,neutral
"Hey Joe, I finished the Day 1 workout and it went really well. Thank you so much for helping me start my gym journey — I really appreciate it. I was thinking ahead and wanted to ask if you have (or recommend) an intermediate workout video for when I get stronger, or if I want to switch things up with different exercises. Thanks again for everything",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2026-01-03,3PMrt-1WDaI,@AaronAtCow,66,False,Hey Joe I finished the Day 1 workout and it went really well Thank you so much for helping me start my gym journey I really appreciate it I was thinking ahead and wanted to ask if you have or recommend an intermediate workout video for when I get stronger or if I want to switch things up with different exercises Thanks again for everything,0.0,0.719,0.281,0.9511,positive,goal_oriented,3,0,0,0,0,no_equipment,0,6,0,2,0,6,very_satisfied
It was my first time doing it absolutely loved it! I used to think gym is hard but the more you do the less it seems hard,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-31,3PMrt-1WDaI,@TapXStation,27,False,It was my first time doing it absolutely loved it! I used to think gym is hard but the more you do the less it seems hard,0.108,0.802,0.091,0.2706,positive,not_detected,0,0,0,0,0,no_equipment,0,1,1,0,0,0,neutral
"@JoeDelaneyy, using that routine, what days would you recommend for fitting in some cardio?",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-26,3PMrt-1WDaI,@Jteroleto,14,False,JoeDelaneyy using that routine what days would you recommend for fitting in some cardio?,0.0,0.839,0.161,0.3612,positive,internal,1,0,0,0,0,no_equipment,0,1,0,0,0,1,satisfied
"For the 5 day routine, would you suggest lowering the number of sets to 3 instead of 4",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-25,3PMrt-1WDaI,@birdy8406,18,False,For the 5 day routine would you suggest lowering the number of sets to 3 instead of 4,0.123,0.798,0.08,-0.1779,negative,internal,1,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
This workout plan i been using for a few months and I think it's amazing easy to do a effective.,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,4,2025-12-17,3PMrt-1WDaI,@realafah_,20,False,This workout plan i been using for a few months and I think it s amazing easy to do a effective,0.0,0.57,0.43,0.8689,positive,not_detected,0,0,0,0,0,no_equipment,0,2,0,0,0,2,very_satisfied
How many sets and reps should we do for these exercises?,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-15,3PMrt-1WDaI,@adamhasan9290,11,False,How many sets and reps should we do for these exercises?,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
This Ultimate Gym Workout Mix just helped me add 10lbs to my deadlift PR! Pure fire! 🔥,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-12,3PMrt-1WDaI,@GymPumpPlaylist,17,False,This Ultimate Gym Workout Mix just helped me add 10lbs to my deadlift PR! Pure fire!,0.166,0.834,0.0,-0.4559,negative,not_detected,0,0,1,1,0,home_focused,2,0,0,0,0,0,neutral
"Honestly this has to be one of the best videos ive seen for any beginner, im not a beginner but still see myself as a beginner as i have started and stopped so many times over the years so love looking at videos for ideas on new splits/routines. This is by far the best gym video ive seen. Simple and effective advice with a routine that sounds perfect, will definitely be giving this a go. Thanks very much for the advice its so hard to get through the bullshit online and theres none here at all.",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,3,2025-12-10,3PMrt-1WDaI,@madmike1010,96,False,Honestly this has to be one of the best videos ive seen for any beginner im not a beginner but still see myself as a beginner as i have started and stopped so many times over the years so love looking at videos for ideas on new splits routines This is by far the best gym video ive seen Simple and effective advice with a routine that sounds perfect will definitely be giving this a go Thanks very much for the advice its so hard to get through the bullshit online and theres none here at all,0.077,0.627,0.295,0.9846,positive,internal,4,0,0,0,0,no_equipment,0,6,1,0,1,5,very_satisfied
Such an informative video thanks bro!! I am barely a day 1 beginner in the gym so this video is exactly what I was looking for. A realistic plan to follow for a week 👍,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-09,3PMrt-1WDaI,@navp8017,35,False,Such an informative video thanks bro!! I am barely a day 1 beginner in the gym so this video is exactly what I was looking for A realistic plan to follow for a week,0.0,0.886,0.114,0.5399,positive,internal,1,0,1,0,0,home_focused,1,2,0,0,0,2,very_satisfied
"If curious how much weight he demonstrated in this video, I noted them down, some are just guesses as I don't know exact brick weight, since most machines use 10 lbs per brick I assume the same here.

Day 1:
1. Flat DB press - 30kg each hand, 60kg total.
2. Incline DB row - 30kg each hand, 60kg total.
3. Chest Fly Machine - Level 8 on the bricks, probably 80 pounds / 36kg.
4. Reverse Fly / Reverse Pec Deck - Level 6 on the bricks, probably 60 pounds / 27kg.
5. DB Curls - 12kg each hand, 24kg total.

Day 2:
1. Leg Press Sled Machine - 105kg on each side, total 210kg. 
2. Seated Leg Curl - Level 8 on brick, probably 80 pounds / 36kg.
3. Leg Extension - Level 8 on brick, probably 80 pounds / 36kg.
4. Standing Calf Raise - Level 7 on brick, 70 pounds / 31.5kg.
5. Hyperextension - Bodyweight only.

Day 3:
1. Assisted Pullup.
2. Seated Smith Machine - 10kg each side, the smith bar probably 10kg, bringing total 30kg.
3. Cable Straight Arm Pulldown - Level 11 on brick, probably 110 pounds / 50kg.
4. Lateral Raise Machine - Level 7 on brick, 70 pounds / 31.5kg.
5. Rope Overhead Tricep Extension - Level 7 on brick, 70 pounds / 31.5kg.",gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-08,3PMrt-1WDaI,@AnonymousTOTW,224,False,If curious how much weight he demonstrated in this video I noted them down some are just guesses as I don t know exact brick weight since most machines use 10 lbs per brick I assume the same here Day 1 1 Flat DB press 30kg each hand 60kg total 2 Incline DB row 30kg each hand 60kg total 3 Chest Fly Machine Level 8 on the bricks probably 80 pounds 36kg 4 Reverse Fly Reverse Pec Deck Level 6 on the bricks probably 60 pounds 27kg 5 DB Curls 12kg each hand 24kg total Day 2 1 Leg Press Sled Machine 105kg on each side total 210kg 2 Seated Leg Curl Level 8 on brick probably 80 pounds 36kg 3 Leg Extension Level 8 on brick probably 80 pounds 36kg 4 Standing Calf Raise Level 7 on brick 70 pounds 31 5kg 5 Hyperextension Bodyweight only Day 3 1 Assisted Pullup 2 Seated Smith Machine 10kg each side the smith bar probably 10kg bringing total 30kg 3 Cable Straight Arm Pulldown Level 11 on brick probably 110 pounds 50kg 4 Lateral Raise Machine Level 7 on brick 70 pounds 31 5kg 5 Rope Overhead Tricep Extension Level 7 on brick 70 pounds 31 5kg,0.0,0.925,0.075,0.9153,positive,mixed,3,8,1,4,0,gym_focused,13,0,0,0,1,0,neutral
How do i know what weight is right for these? I know everyone is different so getting an actual number wont work for everyone. But how should it feel? Should the first set feel easy?,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-07,3PMrt-1WDaI,@tmaduct5,35,False,How do i know what weight is right for these? I know everyone is different so getting an actual number wont work for everyone But how should it feel? Should the first set feel easy?,0.0,0.848,0.152,0.6747,positive,mixed,2,0,0,1,0,no_equipment,1,0,0,0,0,0,neutral
Do you have any alternative of workouts that use gym tools for me that's do it at home and doesn't have any of those tools?,gym,youtube,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE &amp; LOSE FAT**,Joe Delaney,0,2025-12-05,3PMrt-1WDaI,@Aseligaes,25,False,Do you have any alternative of workouts that use gym tools for me that s do it at home and doesn t have any of those tools?,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
Bro is concocting a potion to bring back Lord Voldemort 🙏,gym,youtube,The BEST Upper Body Exercises,Davis Diley,0,2026-02-21,wCi78-7lQr0,@avisharma4836,11,False,Bro is concocting a potion to bring back Lord Voldemort,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
This a great breakdown thanks for the video brother stay blessed !,gym,youtube,The BEST Upper Body Exercises,Davis Diley,0,2026-02-09,wCi78-7lQr0,@SosaTee-w5d,12,False,This a great breakdown thanks for the video brother stay blessed !,0.0,0.385,0.615,0.9041,positive,internal,1,0,0,0,0,no_equipment,0,3,0,0,0,3,very_satisfied
"This video is intensively strong, I'm going to the gym now because of this video to do the 0:16 brachioradialis; reverse easy bars, no question.",gym,youtube,The BEST Upper Body Exercises,Davis Diley,1,2026-01-22,wCi78-7lQr0,@iffythegoldencrust4255,25,False,This video is intensively strong I m going to the gym now because of this video to do the 0 16 brachioradialis reverse easy bars no question,0.075,0.714,0.211,0.6124,positive,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
"Wait you do forearms ??
I thought just your editing excellence is enough to grow them massive 
Goated shorts and info as always ❤",gym,youtube,The BEST Upper Body Exercises,Davis Diley,0,2025-12-27,wCi78-7lQr0,@modroidmiraf5321,24,False,Wait you do forearms ?? I thought just your editing excellence is enough to grow them massive Goated shorts and info as always,0.0,0.825,0.175,0.6662,positive,external,1,0,0,0,0,no_equipment,0,0,0,0,1,0,neutral
Idk if any of yall would be able to help or give advice on this but recently when I play basketball (I’m center or power forward if that changes anything) during the later portion it after games and practice I will start to have mid to lower back pain that lingers for a few days so if yall got anything to help appreciate if you could let me know yall have a blessed day,gym,youtube,The BEST Upper Body Exercises,Davis Diley,0,2025-12-15,wCi78-7lQr0,@AidanDiebold-u8l,74,False,Idk if any of yall would be able to help or give advice on this but recently when I play basketball I m center or power forward if that changes anything during the later portion it after games and practice I will start to have mid to lower back pain that lingers for a few days so if yall got anything to help appreciate if you could let me know yall have a blessed day,0.097,0.702,0.2,0.8735,positive,goal_oriented,1,0,0,0,0,no_equipment,0,1,1,1,0,0,neutral
"Db curls? Nah you need a better stretch to grow the bicep, preacher curls are the way.",gym,youtube,The BEST Upper Body Exercises,Davis Diley,0,2025-12-13,wCi78-7lQr0,@Brooklyn718Pit,17,False,Db curls? Nah you need a better stretch to grow the bicep preacher curls are the way,0.077,0.765,0.158,0.3612,positive,goal_oriented,1,1,0,0,0,gym_focused,1,1,0,1,0,1,satisfied
"In case you missed it, I just launched my new Pure Bodybuilding program this week and it's still 20% off this weekend. This is one of the workouts in the Full Body version of the program and there is also a Pull/Pull/Legs and Upper/Lower version available! If you're looking for a routine purely dedicated to hypertrophy training, check it out at jeffnippard.com!",gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,1159,2023-11-11,czkGj5vJEFQ,@JeffNippard,62,False,In case you missed it I just launched my new Pure Bodybuilding program this week and it s still 20 off this weekend This is one of the workouts in the Full Body version of the program and there is also a Pull Pull Legs and Upper Lower version available! If you re looking for a routine purely dedicated to hypertrophy training check it out at jeffnippard com!,0.063,0.86,0.077,0.2446,positive,internal,1,0,0,0,0,no_equipment,0,0,0,0,1,0,neutral
can anyone tell me why it's happening to me. like I do chest day but after that I feel and see more pump or size on the left chest (I'm right handed) so I have to do some extra reps on the right to balance it . and also I feel more muscle activation on the left chest while doing incline dumbbell press. but why?,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2026-03-04,czkGj5vJEFQ,@Saii-yo,65,False,can anyone tell me why it s happening to me like I do chest day but after that I feel and see more pump or size on the left chest I m right handed so I have to do some extra reps on the right to balance it and also I feel more muscle activation on the left chest while doing incline dumbbell press but why?,0.036,0.935,0.029,-0.1154,negative,goal_oriented,1,1,0,1,0,gym_focused,2,0,0,0,1,0,neutral
Any chance of posting a 3x a week full body workout? Please,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2026-02-25,czkGj5vJEFQ,@cnlagamo10,12,False,Any chance of posting a 3x a week full body workout? Please,0.0,0.65,0.35,0.5106,positive,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,1,0,neutral
If there are “missing muscles” then it’s not “full body day”.,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2026-02-25,czkGj5vJEFQ,@Delkomo,11,False,If there are missing muscles then it s not full body day,0.18,0.82,0.0,-0.296,negative,goal_oriented,1,0,0,0,0,no_equipment,0,0,0,0,1,0,neutral
Nahh the incline clip makes him look like a buff midget😂😂,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2026-02-11,czkGj5vJEFQ,@fitnessffinessed,11,False,Nahh the incline clip makes him look like a buff midget,0.0,0.783,0.217,0.3612,positive,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,1,0,neutral
"If I saw a man in my gym doing any of these besides the leg press, I’d probably beat the 💩 outta him. Just on principle",gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,1,2026-01-09,czkGj5vJEFQ,@balooojeffersong4234,26,False,If I saw a man in my gym doing any of these besides the leg press I d probably beat the outta him Just on principle,0.0,1.0,0.0,0.0,neutral,not_detected,0,1,0,0,0,gym_focused,1,0,0,0,0,0,neutral
Blue we skipped 90 % of the body this ain't full body this is quarter body,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,1,2025-12-09,czkGj5vJEFQ,@ace.d.firefist,16,False,Blue we skipped 90 of the body this ain t full body this is quarter body,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,1,0,neutral
"So easy to put on mas when you're only 5'5. 
His 8 million followers should be enough weight for him.",gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-12-04,czkGj5vJEFQ,@that417,20,False,So easy to put on mas when you re only 5 5 His 8 million followers should be enough weight for him,0.0,0.849,0.151,0.4927,positive,goal_oriented,1,0,0,1,0,no_equipment,1,0,0,0,0,0,neutral
If there is one thing I’ve learned from Jeff it’s zero consistent workout routines. Dudes all over the place.,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-12-04,czkGj5vJEFQ,@Sttonkeoj,19,False,If there is one thing I ve learned from Jeff it s zero consistent workout routines Dudes all over the place,0.0,1.0,0.0,0.0,neutral,internal,1,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
Just started a new job where I’ll be working 13 hours five days a week. Definitely gonna use this!,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-11-22,czkGj5vJEFQ,@RateMyRoutine,19,False,Just started a new job where I ll be working 13 hours five days a week Definitely gonna use this!,0.0,0.842,0.158,0.4574,positive,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
"""Leg press - you can push super hard without causing tons of fatigue"" 
Really?! 🤔 Not sure if we push super hard in that case.",gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-11-16,czkGj5vJEFQ,@wiss4353,25,False,Leg press you can push super hard without causing tons of fatigue Really?! Not sure if we push super hard in that case,0.212,0.534,0.254,0.652,positive,not_detected,0,1,0,0,0,gym_focused,1,0,1,0,0,-1,dissatisfied
Can I ask why you choose an ab exercise with little stretch to the abs??,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,1,2025-11-03,czkGj5vJEFQ,@evangraybill7644,15,False,Can I ask why you choose an ab exercise with little stretch to the abs??,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
How is smith bench safer to fail than freeweight? At least with freeweight you could roll the weight off if you fail without spotter. On smith machine you just get pinned.,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-10-28,czkGj5vJEFQ,@VynnWav,31,False,How is smith bench safer to fail than freeweight? At least with freeweight you could roll the weight off if you fail without spotter On smith machine you just get pinned,0.185,0.741,0.074,-0.6369,negative,mixed,2,2,1,1,0,gym_focused,4,0,0,0,0,0,neutral
How is this science based 😂 anyone can go in the gym and assume to do these,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-10-27,czkGj5vJEFQ,@AB-uv2ho,17,False,How is this science based anyone can go in the gym and assume to do these,0.0,1.0,0.0,0.0,neutral,not_detected,0,0,0,0,0,no_equipment,0,0,0,0,0,0,neutral
Hip adductors is the shittiest and the most useless excersise in the gym,gym,youtube,My New Science-Based Full Body Workout For Pure Bodybuilding,Jeff Nippard,0,2025-10-23,czkGj5vJEFQ,@harleybowers2335,13,False,Hip adductors is the shittiest and the most useless excersise in the gym,0.405,0.595,0.0,-0.8173,negative,not_detected,0,0,0,0,0,no_equipment,0,0,1,0,0,-1,dissatisfied
